LineId,Content,EventId,EventTemplate
57,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
58,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
59,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
60,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/AMP8_NTK830CA/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
61,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
62,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
63,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
64,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
65,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
66,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
67,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
68,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
69,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
70,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BE/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
71,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*boot*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
72,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*bld*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
73,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*BASE*po': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
74,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*SWD': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
75,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*load': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
76,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*tar': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
77,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*sym': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
78,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*sim': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
79,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*elf': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
80,cp: cannot stat '/localdisk/6500_repo/ome/vobs/equinox_ne_build/bctbuild/OME/BCT/CCMDR_NTK843BG/*map': No such file or directory,02811a8e,<*> cannot stat <*> No such file or directory 
